stage,B365H,B365D,B365A,Home/Away win,competence_difference
1,2.5,3.25,3.2,0,0.0
1,8.0,4.75,1.45,-1,0.0
1,2.38,3.3,3.3,0,0.0
1,2.25,3.4,3.5,0,0.0
1,7.5,4.5,1.5,-1,0.0
1,9.0,5.0,1.4,-1,0.0
1,2.25,3.4,3.5,0,0.0
1,1.33,5.75,10.0,0,0.0
1,3.0,3.5,2.5,1,0.0
2,2.15,3.6,3.6,-1,-1.5
2,1.62,4.0,6.5,1,0.5
2,3.4,3.4,2.3,1,0.0
1,3.5,3.3,2.3,1,0.0
2,1.36,5.5,9.0,1,1.5
2,4.75,4.2,1.75,-1,-1.0
2,2.2,3.3,3.75,1,0.0
2,5.0,4.0,1.75,1,-1.0
2,3.6,3.5,2.15,0,-0.5
3,1.65,4.2,5.5,-1,0.0
3,1.22,7.0,15.0,0,-0.3333333333333333
3,2.0,3.6,4.0,0,-1.0
2,3.3,3.3,2.38,1,-1.5
2,1.53,4.33,7.0,1,1.5
3,1.83,3.5,5.25,1,0.3333333333333333
3,1.95,3.6,4.2,0,0.0
3,5.75,3.8,1.7,1,0.0
3,1.8,3.6,5.25,-1,-1.0
3,1.29,6.0,12.0,1,0.6666666666666666
3,5.0,4.0,1.73,-1,-0.6666666666666666
4,3.2,3.4,2.4,0,-1.75
4,1.8,3.75,5.0,0,-0.25
4,2.38,3.2,3.4,0,-0.25
4,1.25,6.5,15.0,1,-1.5
4,2.0,3.3,4.5,-1,-1.0
3,2.4,3.3,3.25,-1,1.0
4,4.5,3.6,1.91,1,0.5
4,4.75,3.6,1.85,-1,-0.25
4,2.4,3.5,3.1,-1,0.25
4,1.65,4.0,6.0,1,1.0
4,1.53,4.2,7.5,1,1.25
5,6.5,4.2,1.57,1,-1.2
5,3.0,3.25,2.6,-1,1.8
5,5.5,3.8,1.73,-1,-1.4
5,2.88,3.6,2.5,0,-1.2
5,5.5,3.8,1.73,-1,0.4
5,1.45,4.75,8.0,1,1.0
5,1.8,3.6,5.25,-1,-0.6
5,2.55,3.2,3.1,-1,0.4
5,1.95,3.75,4.0,1,-0.4
6,2.3,3.2,3.3,0,-0.16666666666666666
6,1.73,3.6,5.25,1,-0.16666666666666666
6,1.73,3.6,5.25,1,-0.3333333333333333
6,1.25,5.5,15.0,1,1.0
6,1.57,3.6,6.5,0,-1.1666666666666667
6,2.38,3.4,3.0,0,0.3333333333333333
5,5.0,3.75,1.73,-1,-1.0
6,8.0,4.1,1.44,-1,0.16666666666666666
6,1.25,6.0,11.0,1,0.3333333333333333
6,2.6,3.1,2.9,0,0.3333333333333333
6,2.25,3.5,3.4,-1,0.5
7,2.8,3.2,2.8,1,0.8571428571428571
7,1.29,6.0,12.0,1,0.7142857142857143
7,1.5,4.33,8.0,1,-0.14285714285714285
7,6.0,4.2,1.6,-1,-0.14285714285714285
7,1.67,3.8,6.0,1,-0.2857142857142857
7,6.0,4.2,1.62,1,-1.2857142857142858
7,1.7,3.8,5.75,1,-0.2857142857142857
7,1.33,5.5,11.0,1,0.5714285714285714
7,2.0,3.5,4.2,1,-0.2857142857142857
7,2.88,3.25,2.7,-1,0.5714285714285714
8,9.0,5.5,1.36,-1,-1.25
8,2.38,3.3,3.3,0,-1.0
8,1.73,3.9,5.25,1,0.375
8,1.22,7.0,15.0,1,0.375
8,3.6,3.5,2.15,1,-0.625
8,2.4,3.5,3.1,1,0.125
8,3.75,3.5,2.1,-1,-0.75
8,2.8,3.3,2.75,-1,0.125
8,2.9,3.2,2.7,1,0.125
8,1.73,4.0,5.0,0,0.375
9,2.3,3.2,3.6,-1,0.1111111111111111
9,2.38,3.25,3.4,-1,-0.2222222222222222
9,1.7,4.0,5.5,1,0.7777777777777778
9,4.6,3.75,1.85,-1,-1.2222222222222223
9,2.05,3.25,4.33,1,-0.7777777777777778
9,1.57,4.2,6.5,1,1.0
9,2.45,3.1,3.4,0,0.0
9,1.91,3.6,4.5,-1,0.0
10,1.35,5.5,9.5,1,1.2
10,3.5,3.5,2.2,1,-0.1
10,2.15,3.5,3.6,1,-0.5
9,5.25,4.0,1.7,1,-0.8888888888888888
9,3.1,3.4,2.45,1,-0.6666666666666666
10,3.5,3.3,2.3,0,-0.1
10,1.57,4.5,6.0,1,0.1
10,5.5,3.8,1.73,0,-0.6
10,2.15,3.5,3.6,-1,0.6
10,1.29,6.5,11.0,1,1.6
10,1.5,4.75,7.0,0,0.5
10,1.85,3.5,5.0,1,0.1
11,2.0,3.6,4.0,1,-0.09090909090909091
11,2.25,3.3,3.6,-1,0.09090909090909091
11,1.4,4.8,9.5,1,-0.5454545454545454
11,2.2,3.5,3.5,0,0.36363636363636365
11,1.25,6.5,15.0,0,1.1818181818181819
