stage,B365H,B365D,B365A,Home/Away win,competence_difference
1,2.3,3.5,3.3,-1,0.0
1,1.25,6.5,14.0,1,0.0
1,1.17,8.5,21.0,1,0.0
1,1.75,3.8,5.25,0,0.0
1,3.8,3.6,2.05,-1,0.0
1,3.8,3.75,2.0,1,0.0
1,2.38,3.4,3.25,0,0.0
1,3.75,3.6,2.1,-1,0.0
1,1.91,3.75,4.33,1,0.0
2,2.5,3.4,3.0,-1,1.0
2,1.73,3.8,5.5,1,0.5
2,1.45,4.5,8.5,1,-0.5
2,3.8,3.6,2.05,-1,0.0
2,2.1,3.4,4.0,-1,0.0
1,2.8,3.3,2.75,0,0.0
2,2.1,3.5,3.8,-1,0.0
2,1.4,5.0,9.0,1,0.0
2,1.53,4.33,7.0,0,0.5
2,1.8,3.75,5.0,1,0.0
2,7.5,4.5,1.5,-1,-1.5
3,2.1,3.5,3.8,1,0.3333333333333333
3,7.5,4.5,1.5,-1,-1.0
3,1.8,3.75,5.0,0,-0.3333333333333333
3,1.44,5.0,7.5,1,0.0
3,2.55,3.25,3.1,1,-0.3333333333333333
3,1.91,3.7,4.33,0,1.0
3,1.67,4.2,5.25,1,0.0
3,1.91,3.6,4.5,1,1.3333333333333333
3,2.2,3.5,3.5,1,0.0
3,1.67,4.2,5.25,1,0.3333333333333333
4,2.05,3.5,4.0,1,-0.5
4,7.0,4.33,1.53,1,-1.75
4,1.5,4.5,7.5,0,0.75
4,1.5,4.75,7.0,1,1.75
4,1.6,4.2,6.0,0,1.5
4,4.0,3.6,2.0,1,-1.25
4,2.45,3.3,3.2,0,0.25
4,2.35,3.4,3.25,1,0.5
4,2.4,3.4,3.2,1,0.5
5,1.3,6.0,11.0,1,1.0
4,3.4,3.4,2.3,-1,-0.75
5,1.75,3.75,5.5,0,0.8
5,7.0,4.75,1.5,0,-1.8
5,2.5,3.4,3.0,1,-0.6
5,1.44,4.75,8.0,1,0.4
5,2.8,3.4,2.7,-1,-0.6
5,1.25,6.5,15.0,1,1.0
5,2.25,3.4,3.5,0,0.0
5,3.2,3.4,2.4,0,-0.2
5,1.36,5.0,11.0,-1,0.2
6,2.5,3.3,3.1,-1,-0.16666666666666666
6,1.95,3.5,4.5,-1,-0.5
6,3.8,3.6,2.05,-1,0.6666666666666666
6,1.33,5.75,10.0,1,0.5
6,5.25,4.33,1.67,-1,-1.3333333333333333
6,9.0,5.0,1.4,-1,-1.1666666666666667
7,2.5,3.4,3.0,0,0.7142857142857143
7,2.8,3.4,2.7,0,-0.8571428571428571
6,2.5,3.3,3.1,-1,-1.6666666666666667
6,1.85,3.7,4.75,0,-0.3333333333333333
6,1.65,4.0,6.0,1,0.5
6,1.2,7.5,17.0,1,1.6666666666666667
7,5.0,4.0,1.75,0,-0.14285714285714285
7,1.45,4.75,8.0,1,0.8571428571428571
7,2.5,3.25,3.2,0,0.5714285714285714
