stage,B365H,B365D,B365A,Home/Away win,competence_difference
1,2.0,3.3,4.0,1,0.0
1,2.88,3.25,2.5,1,0.0
1,2.2,3.3,3.4,0,0.0
1,1.17,7.0,17.0,1,0.0
1,2.1,3.3,3.6,0,0.0
1,2.4,3.3,3.0,0,0.0
1,2.3,3.25,3.2,1,0.0
1,1.83,3.5,4.5,-1,0.0
1,2.5,3.25,2.88,0,0.0
1,1.25,5.5,15.0,1,0.0
2,1.5,4.0,7.0,0,-1.5
2,2.2,3.25,3.4,1,-1.0
2,2.5,3.25,2.88,1,-0.5
2,3.4,3.3,2.2,-1,-0.5
2,15.0,6.0,1.22,-1,-1.5
2,2.25,3.3,3.25,-1,-0.5
2,1.17,7.0,19.0,1,-1.0
2,3.2,3.25,2.3,1,-1.5
2,6.0,4.0,1.57,0,-1.0
2,2.38,3.25,3.1,1,0.0
3,3.2,3.25,2.3,0,0.3333333333333333
3,1.14,8.0,19.0,1,1.3333333333333333
3,1.11,9.0,23.0,1,2.0
3,1.25,5.75,13.0,-1,1.3333333333333333
3,6.0,4.0,1.57,-1,-0.3333333333333333
3,2.4,3.2,3.1,0,0.3333333333333333
3,2.1,3.3,3.6,0,0.0
3,2.5,3.25,2.88,1,0.6666666666666666
3,4.5,3.5,1.83,1,-1.0
3,1.22,6.0,15.0,1,-0.6666666666666666
4,2.5,3.25,2.88,0,-0.25
4,3.75,3.25,2.1,0,-0.25
4,1.83,3.5,4.5,1,-0.5
4,1.33,5.0,10.0,0,0.25
4,4.2,3.4,1.91,0,-1.5
4,10.0,5.0,1.33,-1,-2.25
4,1.25,5.5,13.0,1,0.5
4,1.57,4.0,6.0,-1,0.0
4,3.1,3.2,2.4,0,0.25
4,2.5,3.25,2.88,1,-1.5
5,1.91,3.4,4.2,0,0.6
5,1.62,3.75,6.0,-1,-0.4
5,1.4,4.5,8.5,1,0.0
5,1.8,3.6,4.5,0,0.2
5,2.25,3.3,3.25,1,-0.4
5,5.5,3.7,1.67,0,-1.0
5,2.0,3.3,4.0,0,-0.4
5,1.7,3.5,5.5,1,0.6
5,1.1,9.0,26.0,1,1.0
5,5.0,3.6,1.73,-1,-0.2
6,3.5,3.4,2.1,1,-1.1666666666666667
6,1.44,4.33,7.5,0,-0.16666666666666666
6,1.22,6.0,15.0,-1,0.6666666666666666
6,3.6,3.3,2.1,1,-1.1666666666666667
6,2.75,3.2,2.63,0,0.8333333333333334
6,1.83,3.5,4.5,0,0.3333333333333333
6,3.2,3.25,2.3,-1,0.3333333333333333
6,7.5,4.0,1.5,0,-0.8333333333333334
6,1.91,3.4,4.2,-1,0.5
6,2.88,3.25,2.5,-1,-0.3333333333333333
7,2.25,3.25,3.3,0,-0.5714285714285714
7,1.91,3.5,4.0,1,-0.2857142857142857
7,2.25,3.2,3.4,1,-0.14285714285714285
7,2.25,3.25,3.3,1,0.0
7,2.88,3.1,2.63,-1,0.5714285714285714
7,5.0,3.5,1.75,0,-0.7142857142857143
7,2.1,3.25,3.75,0,0.42857142857142855
7,1.73,3.6,5.0,1,0.5714285714285714
7,1.33,5.0,10.0,-1,-0.14285714285714285
7,1.44,4.0,8.5,1,0.5714285714285714
8,1.83,3.5,4.5,0,-0.125
8,2.25,3.2,3.4,0,0.0
8,5.0,3.6,1.73,0,-1.0
8,2.2,3.2,3.5,1,-0.25
8,1.25,5.75,12.0,0,0.25
8,1.29,5.5,11.0,1,0.5
8,2.88,3.25,2.5,-1,-0.25
8,2.4,3.25,3.0,1,0.0
8,5.5,4.0,1.62,-1,-0.5
8,2.1,3.3,3.6,0,0.0
9,2.38,3.25,3.1,0,-0.2222222222222222
9,2.4,3.25,3.0,1,-0.2222222222222222
9,2.1,3.25,3.75,0,0.5555555555555556
9,2.38,3.25,3.1,-1,-0.2222222222222222
9,1.83,3.6,4.33,1,-0.3333333333333333
9,2.2,3.25,3.4,1,0.3333333333333333
9,1.13,8.5,19.0,1,1.4444444444444444
9,1.67,3.6,5.5,1,-0.3333333333333333
9,5.5,3.75,1.67,-1,-0.4444444444444444
9,2.5,3.2,2.9,-1,0.3333333333333333
10,1.91,3.4,4.2,1,-0.1
10,1.57,3.75,6.5,1,0.0
10,1.57,4.0,6.0,1,0.2
10,1.17,7.0,17.0,1,1.1
10,7.5,4.33,1.44,-1,-1.3
10,5.5,3.4,1.73,1,-1.1
10,2.2,3.2,3.5,1,-0.1
10,1.8,3.6,4.5,0,0.1
10,3.4,3.25,2.2,-1,0.3
10,2.9,3.25,2.5,1,-0.5
11,3.0,3.3,2.4,1,-0.2727272727272727
11,2.2,3.25,3.4,0,0.0
11,1.8,3.6,4.5,1,-0.09090909090909091
11,2.1,3.2,3.75,1,0.18181818181818182
11,1.22,6.0,15.0,1,1.0
11,1.91,3.4,4.2,0,0.45454545454545453
11,4.5,3.6,1.8,0,0.0
11,3.8,3.4,2.0,1,-1.1818181818181819
11,3.6,3.3,2.1,-1,-0.18181818181818182
11,1.29,5.5,11.0,-1,0.5454545454545454
12,1.53,4.0,6.5,0,0.0
