stage,B365H,B365D,B365A,Home/Away win,competence_difference
1,1.4,4.5,8.5,0,0.0
1,4.2,3.5,1.91,1,0.0
1,2.38,3.25,3.1,0,0.0
1,2.0,3.4,3.8,-1,0.0
1,2.2,3.3,3.4,1,0.0
1,1.8,3.6,4.5,1,0.0
1,2.5,3.4,2.75,1,0.0
1,1.17,7.0,17.0,1,0.0
1,6.0,3.75,1.62,-1,0.0
1,4.33,3.6,1.83,1,0.0
3,1.25,5.5,13.0,1,1.6666666666666667
2,1.29,5.5,11.0,1,-1.5
2,2.25,3.4,3.2,0,0.0
2,2.1,3.4,3.5,-1,0.0
2,2.1,3.3,3.6,1,0.0
2,1.5,4.33,6.5,0,-1.5
2,1.5,4.33,6.5,1,0.0
2,2.9,3.4,2.4,-1,-1.5
2,3.1,3.4,2.3,0,-1.5
2,3.5,3.4,2.1,0,0.0
3,1.18,7.0,15.0,1,1.0
3,2.2,3.3,3.4,0,0.6666666666666666
3,1.36,5.0,8.5,0,0.0
3,3.0,3.3,2.38,1,-0.6666666666666666
3,2.5,3.25,2.88,1,0.0
3,2.25,3.25,3.3,0,0.3333333333333333
3,2.0,3.5,3.75,-1,-0.3333333333333333
3,1.62,3.75,6.0,0,1.0
3,6.0,4.2,1.53,-1,-1.0
4,2.1,3.4,3.5,1,-1.0
4,3.4,3.3,2.2,0,1.0
4,5.0,3.6,1.73,0,-1.0
4,4.5,3.5,1.83,0,-2.0
4,2.38,3.4,3.0,0,-1.0
4,1.36,5.0,8.5,1,1.25
4,2.38,3.25,3.1,1,-1.5
4,1.25,6.0,12.0,1,0.5
4,3.75,3.5,2.0,-1,-0.25
4,1.73,3.6,5.0,0,0.5
5,1.73,3.75,4.75,1,1.2
5,2.4,3.3,3.0,-1,-0.4
5,2.1,3.3,3.6,0,0.2
5,2.4,3.3,3.0,1,-0.8
5,3.0,3.3,2.4,-1,0.0
5,1.36,4.75,9.0,1,1.2
5,2.7,3.3,2.63,-1,-1.4
5,1.44,4.33,7.5,1,0.6
5,1.75,3.6,4.75,0,0.0
5,1.8,3.6,4.5,1,0.4
6,1.4,4.75,8.0,1,1.1666666666666667
6,4.33,3.6,1.83,-1,0.0
6,1.57,4.0,6.0,-1,0.6666666666666666
6,4.75,3.75,1.73,-1,0.16666666666666666
6,2.88,3.3,2.5,0,-1.1666666666666667
6,1.91,3.4,4.2,1,-0.5
6,2.0,3.4,3.8,1,0.5
6,2.1,3.4,3.5,-1,-0.6666666666666666
6,2.4,3.3,3.0,0,-1.0
6,2.05,3.4,3.75,-1,-1.0
7,1.22,6.5,12.0,1,1.8571428571428572
7,4.2,3.4,1.91,0,-1.2857142857142858
7,4.0,3.6,1.91,-1,0.2857142857142857
7,1.83,3.75,4.2,1,1.2857142857142858
7,1.29,5.5,11.0,1,0.2857142857142857
7,1.91,3.6,4.0,0,0.7142857142857143
7,1.44,4.33,7.5,1,0.8571428571428571
7,4.2,3.75,1.83,-1,-0.42857142857142855
7,1.44,4.33,7.5,0,-0.2857142857142857
7,2.75,3.3,2.6,0,-0.8571428571428571
8,1.83,3.75,4.2,1,0.875
8,6.0,4.2,1.53,1,-1.125
8,5.0,3.75,1.7,-1,-0.125
8,2.1,3.4,3.5,1,0.375
8,1.33,5.0,10.0,1,0.375
8,1.8,3.6,4.5,1,0.625
8,2.5,3.4,2.75,-1,-0.625
8,1.29,5.5,11.0,1,0.875
8,3.25,3.4,2.2,0,-1.5
8,2.5,3.3,2.88,0,0.125
9,1.95,3.3,4.2,0,-0.3333333333333333
9,1.36,5.0,8.5,1,1.0
9,2.0,3.5,3.75,0,-0.1111111111111111
9,1.22,6.0,15.0,1,0.7777777777777778
9,2.75,3.4,2.5,0,-1.1111111111111112
9,2.25,3.4,3.2,1,-1.0
9,2.6,3.3,2.75,0,0.6666666666666666
9,2.0,3.5,3.75,1,-0.4444444444444444
9,4.2,3.75,1.83,-1,-1.1111111111111112
9,2.4,3.4,2.9,-1,0.4444444444444444
10,1.7,3.8,5.0,1,0.6
10,2.6,3.3,2.75,1,-0.2
10,2.1,3.3,3.6,-1,0.6
10,4.5,3.6,1.8,0,-1.1
10,1.5,4.33,6.5,-1,0.9
10,2.75,3.4,2.5,0,-0.2
10,5.0,3.8,1.7,0,-0.7
10,1.8,3.6,4.5,0,-0.1
