stage,B365H,B365D,B365A,Home/Away win,competence_difference
1,1.44,4.75,8.0,-1,0.0
1,2.0,3.6,4.0,1,0.0
1,4.2,3.5,2.0,-1,0.0
1,2.3,3.4,3.4,-1,0.0
1,3.2,3.4,2.4,0,0.0
1,2.4,3.4,3.2,-1,0.0
1,1.4,5.0,9.5,1,0.0
1,4.75,3.75,1.83,-1,0.0
1,1.2,7.0,21.0,1,0.0
1,1.33,5.5,11.0,1,0.0
3,1.29,5.5,10.0,1,0.3333333333333333
2,1.83,3.6,5.0,1,0.0
2,1.57,4.33,6.5,0,0.5
2,3.8,3.5,2.1,-1,1.5
2,2.45,3.4,3.1,1,-0.5
2,2.3,3.4,3.4,0,-1.5
2,1.73,3.8,5.5,0,1.5
2,4.0,3.75,1.95,-1,0.0
2,8.5,4.75,1.44,1,-1.5
2,1.62,4.0,6.5,1,1.5
2,2.45,3.4,3.1,0,0.0
3,3.0,3.3,2.55,1,-1.0
3,2.15,3.4,3.75,1,-0.6666666666666666
3,1.17,8.5,19.0,1,0.0
3,2.0,3.4,4.33,-1,0.3333333333333333
3,2.6,3.3,3.0,1,-0.3333333333333333
3,3.25,3.4,2.38,0,0.3333333333333333
3,2.1,3.7,3.6,1,-1.0
3,2.7,3.4,2.8,-1,0.3333333333333333
3,2.63,3.4,2.88,1,0.6666666666666666
4,1.45,4.75,8.0,1,0.5
4,6.0,3.9,1.67,-1,-1.25
4,6.0,4.0,1.65,0,0.0
4,1.22,7.0,16.0,1,0.25
4,2.45,3.25,3.25,0,-0.25
4,3.4,3.3,2.35,1,-1.0
4,2.15,3.4,3.8,-1,-0.25
4,2.15,3.5,3.6,0,0.5
4,1.85,3.6,4.75,0,0.0
4,3.5,3.5,2.2,0,-1.5
5,1.85,3.5,5.0,-1,0.6
5,2.4,3.4,3.2,-1,0.2
5,1.6,4.0,6.5,-1,1.0
5,3.3,3.3,2.4,-1,-0.2
5,1.3,5.75,12.0,1,0.6
5,2.05,3.4,4.2,1,0.2
5,3.5,3.4,2.25,-1,-0.2
5,4.5,3.6,1.91,-1,-0.8
5,2.2,3.4,3.6,1,0.0
5,1.36,5.25,10.0,1,0.4
6,2.38,3.3,3.3,1,0.3333333333333333
6,2.1,3.4,3.9,-1,-0.16666666666666666
6,6.5,4.2,1.57,1,-0.6666666666666666
6,1.3,5.75,12.0,-1,0.3333333333333333
6,1.45,4.5,8.5,1,0.8333333333333334
