stage,B365H,B365D,B365A,Home/Away win,competence_difference
1,2.2,3.2,3.5,-1,0.0
1,2.2,3.2,3.5,0,0.0
1,1.57,3.6,7.0,0,0.0
1,3.75,3.25,2.1,0,0.0
1,2.4,3.25,3.0,-1,0.0
1,2.2,3.2,3.5,0,0.0
1,5.5,3.5,1.7,0,0.0
1,6.5,4.0,1.53,-1,0.0
1,1.29,5.0,13.0,1,0.0
2,1.3,5.5,10.0,1,0.5
2,1.53,3.8,7.0,-1,0.0
2,2.2,3.25,3.4,-1,0.0
2,2.1,3.3,3.6,0,-0.5
2,1.73,3.4,5.5,1,0.5
2,2.5,3.25,2.9,-1,0.0
2,4.75,3.5,1.8,-1,0.0
2,2.6,3.3,2.75,0,0.0
2,2.38,3.25,3.1,1,1.0
2,1.67,3.75,5.5,1,0.0
3,1.4,4.5,8.5,1,0.3333333333333333
3,2.1,3.25,3.75,0,-0.6666666666666666
3,3.3,3.25,2.25,-1,0.0
3,1.2,6.5,15.0,1,0.6666666666666666
3,2.25,3.3,3.25,1,-0.3333333333333333
3,2.38,3.3,3.0,0,0.0
3,2.88,3.3,2.5,-1,-1.0
3,2.1,3.25,3.75,-1,-0.6666666666666666
3,1.5,4.33,6.5,1,1.6666666666666667
3,2.1,3.25,3.75,1,1.0
4,3.0,3.25,2.4,-1,1.0
4,3.25,3.3,2.25,1,-0.5
4,5.0,3.75,1.7,-1,-1.25
4,1.17,7.0,17.0,1,1.0
4,9.0,4.5,1.4,-1,-1.5
4,2.0,3.4,3.8,0,-0.5
4,1.36,4.75,9.0,1,-0.25
4,2.5,3.25,2.88,-1,0.5
4,1.67,3.6,5.5,0,0.25
4,2.4,3.25,3.0,0,-1.0
5,2.63,3.2,2.75,1,-0.2
5,1.91,3.4,4.2,-1,0.6
5,1.8,3.6,4.6,-1,0.2
5,1.5,4.0,7.0,1,-0.2
5,1.91,3.4,4.2,0,-0.4
5,4.2,3.4,1.91,1,-0.6
5,2.63,3.4,2.63,1,-0.2
5,1.83,3.5,4.5,1,0.4
5,2.4,3.2,3.1,1,-1.2
5,6.5,3.8,1.57,0,-2.0
6,1.2,6.5,15.0,1,0.8333333333333334
6,1.44,4.5,7.0,1,0.16666666666666666
6,1.36,4.5,10.0,1,0.0
6,1.44,4.33,7.5,1,1.0
6,1.83,3.5,4.5,1,0.8333333333333334
6,6.5,4.0,1.53,0,-1.1666666666666667
6,2.3,3.25,3.25,0,0.0
6,4.0,3.5,1.91,-1,-0.6666666666666666
6,2.3,3.25,3.2,0,0.0
6,2.5,3.4,2.8,1,0.0
7,2.5,3.25,2.88,-1,-0.7142857142857143
7,1.17,7.0,17.0,1,1.1428571428571428
7,3.1,3.2,2.4,-1,-0.42857142857142855
7,2.25,3.4,3.2,0,0.14285714285714285
7,6.5,3.75,1.57,-1,-1.7142857142857142
7,1.62,3.75,6.0,1,0.42857142857142855
7,2.0,3.3,4.0,1,-0.5714285714285714
7,2.63,3.25,2.75,1,-0.5714285714285714
7,2.1,3.4,3.5,1,0.7142857142857143
7,6.5,4.0,1.53,-1,-1.4285714285714286
8,1.83,3.5,4.5,0,0.5
8,2.2,3.3,3.4,1,0.0
8,1.33,5.0,10.0,1,1.0
8,3.0,3.3,2.4,0,-0.75
8,2.3,3.3,3.2,-1,0.25
8,1.36,4.5,10.0,1,1.125
8,2.2,3.2,3.5,1,0.25
8,1.44,4.33,7.5,1,0.125
8,3.0,3.3,2.4,0,0.0
8,2.0,3.3,4.0,1,-0.25
9,2.0,3.3,4.0,-1,0.3333333333333333
9,2.2,3.2,3.5,-1,0.0
9,1.29,5.5,11.0,0,0.3333333333333333
9,1.57,3.8,6.5,1,1.2222222222222223
9,2.0,3.4,3.8,0,-0.1111111111111111
9,4.0,3.5,1.91,-1,-1.2222222222222223
9,2.25,3.25,3.3,-1,0.0
9,1.53,4.0,6.5,1,-0.2222222222222222
9,2.0,3.4,3.8,-1,-0.2222222222222222
9,9.5,5.0,1.33,1,-1.1111111111111112
10,4.5,3.6,1.8,-1,-1.0
10,1.91,3.6,4.0,0,0.7
10,2.1,3.3,3.6,0,-0.2
10,1.17,7.0,19.0,1,1.7
10,2.1,3.3,3.6,1,0.3
10,1.62,4.0,5.5,-1,0.6
10,2.88,3.25,2.5,-1,-0.2
10,4.0,3.3,2.0,-1,-0.4
10,1.36,4.75,9.0,1,0.7
10,2.1,3.2,3.8,-1,-0.7
11,1.4,4.5,8.5,1,0.45454545454545453
11,2.25,3.25,3.3,1,1.0909090909090908
11,1.83,3.5,4.5,1,-0.09090909090909091
11,7.5,4.33,1.44,-1,-1.1818181818181819
11,1.29,5.5,10.0,0,0.5454545454545454
11,10.0,5.0,1.33,-1,-1.4545454545454546
11,1.25,5.5,13.0,1,1.1818181818181819
11,1.91,3.3,4.33,1,0.2727272727272727
11,2.4,3.3,3.0,1,-0.5454545454545454
11,3.25,3.3,2.25,-1,-1.0909090909090908
12,1.57,3.75,6.5,1,-0.08333333333333333
12,1.3,5.5,10.0,1,0.5
12,5.5,3.6,1.67,-1,-0.5
12,1.83,3.5,4.5,-1,0.0
