stage,B365H,B365D,B365A,Home/Away win,competence_difference
1,1.5,4.5,7.5,1,0.0
1,1.55,4.33,6.5,1,0.0
1,1.44,4.75,8.0,1,0.0
1,2.5,3.3,3.1,-1,0.0
1,2.1,3.5,3.8,0,0.0
1,1.83,3.7,4.8,-1,0.0
1,1.83,3.6,5.0,1,0.0
1,1.25,7.0,13.0,1,0.0
1,2.3,3.5,3.3,-1,0.0
1,3.2,3.4,2.4,0,0.0
2,2.75,3.25,2.8,0,-1.5
2,2.0,3.8,3.8,1,0.0
2,2.7,3.4,2.8,0,1.5
2,1.36,5.25,9.5,-1,-0.5
2,1.29,6.0,13.0,1,-0.5
2,4.75,3.6,1.85,0,-1.5
2,2.15,3.5,3.6,1,0.5
2,2.7,3.4,2.75,-1,-1.5
2,5.25,4.0,1.7,1,0.0
2,1.5,4.5,7.5,0,1.5
3,1.44,4.5,9.0,0,-0.3333333333333333
3,5.75,4.33,1.62,1,-0.3333333333333333
3,2.6,3.5,2.8,0,-1.0
3,2.25,3.5,3.4,-1,1.3333333333333333
3,4.75,3.8,1.8,-1,-1.0
3,1.33,5.25,12.0,1,-0.3333333333333333
3,2.45,3.4,3.1,1,0.0
3,1.85,3.8,4.5,1,0.6666666666666666
3,3.8,3.6,2.05,1,2.0
3,2.1,3.6,3.75,0,0.3333333333333333
4,2.0,3.6,4.0,-1,0.75
4,1.36,5.0,11.0,0,0.0
4,1.95,3.5,4.33,1,2.0
4,1.65,4.0,6.0,1,-0.25
4,2.55,3.3,3.0,-1,-0.25
4,1.7,3.9,5.5,0,0.25
4,1.67,3.8,6.0,-1,-0.75
4,1.73,4.0,5.0,0,-0.25
4,7.5,5.0,1.44,0,-0.5
4,5.5,3.8,1.73,-1,-0.5
5,2.5,3.3,3.1,-1,-0.4
5,1.95,3.6,4.33,-1,0.2
5,1.95,3.6,4.33,1,-0.4
5,1.8,3.75,5.0,0,-0.8
5,2.3,3.4,3.4,0,0.8
5,2.25,3.5,3.4,-1,-2.0
5,5.25,3.9,1.73,-1,0.6
5,2.1,3.5,3.75,1,0.6
5,1.45,4.75,8.0,1,-0.6
5,2.63,3.6,2.75,0,1.4
6,1.85,3.6,4.75,1,1.0
6,1.36,5.25,10.0,0,0.5
6,2.3,3.3,3.5,0,-0.6666666666666666
6,4.0,3.4,2.1,0,-0.5
6,2.38,3.4,3.2,-1,-0.3333333333333333
6,5.0,4.0,1.73,-1,0.3333333333333333
6,2.8,3.3,2.75,0,-0.16666666666666666
6,6.5,4.0,1.62,-1,0.16666666666666666
6,1.75,4.0,5.0,0,0.5
6,1.36,5.0,11.0,-1,-1.0
7,1.36,5.5,9.0,-1,0.42857142857142855
7,1.2,8.0,15.0,1,0.42857142857142855
7,6.0,4.2,1.62,-1,-0.5714285714285714
7,1.91,3.5,4.75,0,-0.14285714285714285
7,1.95,3.4,4.5,-1,1.2857142857142858
7,2.0,3.5,4.2,0,-0.42857142857142855
7,2.2,3.6,3.4,0,-0.8571428571428571
7,3.6,3.3,2.25,1,-0.2857142857142857
7,2.05,3.5,4.0,1,0.14285714285714285
8,1.29,6.0,12.0,-1,0.75
8,2.88,3.3,2.7,0,-0.875
7,3.4,3.4,2.3,-1,0.8571428571428571
8,1.91,3.75,4.33,1,1.5
8,4.33,3.6,1.95,-1,-0.5
8,2.25,3.5,3.4,1,0.125
8,2.45,3.5,3.0,1,-1.25
8,2.3,3.25,3.5,-1,-0.375
8,1.7,4.0,5.5,1,0.625
8,1.29,6.5,11.0,-1,1.0
8,2.5,3.3,3.1,-1,-0.375
9,2.5,3.4,3.0,0,-0.6666666666666666
9,2.3,3.4,3.4,0,-0.2222222222222222
9,2.0,3.6,4.0,1,0.0
9,1.67,4.0,5.75,0,0.1111111111111111
9,3.1,3.3,2.5,-1,0.5555555555555556
10,4.2,3.8,1.91,1,0.0
9,2.25,3.5,3.4,0,0.1111111111111111
9,4.5,4.0,1.8,-1,0.6666666666666666
9,1.53,4.33,7.0,1,0.6666666666666666
9,1.2,7.5,16.0,1,0.4444444444444444
9,6.0,4.2,1.62,0,0.0
10,2.05,3.4,4.2,1,0.3
10,2.55,3.3,3.0,1,0.1
10,2.5,3.3,3.1,-1,0.0
10,3.1,3.3,2.5,-1,-0.3
10,5.75,4.0,1.67,-1,-0.5
10,2.05,3.4,4.2,1,0.5
10,6.0,4.2,1.62,-1,-0.4
10,2.5,3.5,3.0,0,0.2
10,1.75,4.0,5.0,0,-0.5
11,1.33,5.75,10.0,1,0.45454545454545453
11,3.25,3.4,2.38,-1,0.36363636363636365
11,2.0,3.6,4.0,-1,0.36363636363636365
11,1.33,5.75,10.0,1,0.2727272727272727
11,2.6,3.4,2.88,1,-0.2727272727272727
11,2.05,3.4,4.2,-1,-0.5454545454545454
12,4.0,3.8,1.95,1,0.3333333333333333
12,1.44,4.75,8.0,1,0.25
11,2.0,3.5,4.2,-1,-0.2727272727272727
11,2.1,3.3,4.0,-1,0.45454545454545453
11,2.2,3.6,3.4,1,0.45454545454545453
11,3.0,3.3,2.6,-1,-0.6363636363636364
12,2.05,3.6,3.8,0,-0.08333333333333333
12,2.6,3.4,2.9,1,-0.4166666666666667
12,2.6,3.5,2.8,0,-0.5
12,3.4,3.5,2.25,-1,-0.25
13,5.0,4.0,1.75,-1,-0.6153846153846154
13,2.9,3.4,2.6,-1,-0.5384615384615384
13,2.4,3.4,3.2,0,-0.5384615384615384
12,2.1,3.5,3.75,-1,-0.3333333333333333
